id,label
u1217628182611927040,human
u1089159225148882949,human
u1679822588,bot
u1519144464,human
u15211869,human
u1109809482656149504,human
u138814032,human
u457554412,human
u2465283662,bot
u234059290,human
u1142890104853106688,human
u284870222,human
u912974971370115072,human
u83389771,human
u765845,human
u935031277,human
u14788268,human
u2496941382,human
u29458079,human
u3304925983,human
u229389391,human
u871016931213619200,human
u49009937,human
u1360303708777635844,human
u196278935,human
u731478516181565440,human
u1009495181882773506,human
u73710441,human
u542721191,human
u820367095120547841,human
u1074322006445883392,human
u73125667,human
u374208504,human
u1031077915188846594,human
u224965117,human
u35708687,bot
u20813318,human
u1320503149816328192,human
u1192861100804575234,human
u1353063402160099335,human
u15918780,human
u256644046,human
u1116393937449697280,human
u22396466,human
u17393790,human
u2939998182,human
u3082871337,human
u2502990367,human
u162535413,human
u368644797,human
u13678962,human
u4939401,human
u1369074723896786948,human
u945957031323639808,human
u2244134066,human
u18890724,human
u118009649,human
u242490547,human
u788533935886077952,human
u757327643826094080,human
u9604032,human
u887464432430850048,bot
u16834046,human
u1231288602912489472,human
u1536500138,human
u2577886615,bot
u1425141260256301059,human
u86091264,human
u38669987,bot
u92922681,human
u1285628066346274817,human
u1189972333772955650,human
u781673283829788672,human
u2182641,human
u1231601392139329536,human
u114820052,human
u2999992556,human
u50343115,human
u3054361064,human
u158065720,human
u43194755,human
u1372879289050308610,bot
u285685293,human
u370112958,human
u2427885031,human
u1226185906652155906,bot
u18898143,human
u400630125,human
u1015681547415031808,human
u57398614,human
u781982295863484456,bot
u927837253,human
u1356705529528283136,human
u124745749,human
u1044979644183838720,human
u59001491,human
u180038665,human
u15143478,human
u25427470,human
u913302048564637696,bot
u48979419,human
u23886144,human
u2457027740,human
u22385548,human
u1273759306039558145,human
u21846833,human
u582280139,human
u1584137959,human
u1338939176356556800,bot
u69253605,human
u156611885,human
u15231287,human
u2654306088,human
u80179442,human
u1271447460,human
u767892066,human
u1397114203601657857,human
u88403351,human
u985020698,human
u109589477,human
u15255245,human
u111724165,human
u546427546,human
u53017384,human
u54034504,human
u1448037218174443523,human
u178734121,human
u1371838131981447169,human
u2509381254,human
u1145412069866364928,human
u14986849,human
u36258301,human
u209472553,human
u18759465,human
u613173206,human
u107196001,human
u1051795722,human
u175743717,human
u161913667,human
u794801,human
u20571756,human
u1400724735005233152,bot
u342181234,human
u6958,human
u1727522635,human
u743696568939753475,human
u1041440667313078274,bot
u48511236,human
u2188101931,human
u716361791471636480,human
u44196397,human
u47122016,human
u469609215,human
u384126992,human
u108977933,human
u1383617758508720130,bot
u956840962713575424,human
u713855504393617408,human
u1011559160540876800,bot
u83855918,human
u25660512,human
u45312366,human
u1143024633114845185,human
u115926128,human
u88667624,human
u148465548,human
u1304728654707122176,human
u1475499982652387328,troll
u2667389023,human
u14408924,human
u1193983696627544065,human
u340445091,human
u1477709177346736142,troll
u2188668342,human
u250188760,human
u48008611,bot
u9629072,human
u381149705,human
u307629377,human
u1406803702950866945,human
u22016237,human
u1030921417485942784,human
u822845135293714433,human
u16303106,human
u822426735136350208,bot
u2232848496,human
u1400945465634529288,human
u2414012077,human
u1081252025915068417,bot
u1166752450537295873,human
u3697013177,human
u1185613800839503873,human
u983580450902818817,human
u997994342949236736,human
u503257759,human
u3336693958,human
u595982444,human
u28052098,bot
u95329049,human
u89405591,human
u859969123102539777,human
