id,split
u1000016792205582336,train
u1000023384531636224,train
u1000059350847762432,train
u1000060610518896640,train
u1000068751809699840,val
u1000093259207655425,val
u100011309,train
u1000121321752215552,test
u1000195961237499905,val
u1000242837852688385,train
u100024370,train
u1000288828194615296,train
u100029670,val
u1000298716006252544,train
u100030266,train
u100030977,train
u1000328182208303104,train
u100034109,train
u100034461,train
u1000362680870428672,train
u10003742,train
u1000392427289694208,train
u1000399204072620034,train
u1000436211419402241,train
u1000483839800627200,train
u1000497649114591232,train
u1000499392267235328,train
u1000503711330791424,train
u1000509814898765825,test
u1000524625892212742,train
u1000529293171150849,val
u1000536743542771712,train
u1000539114893185030,train
u1000558242173505537,train
u100057086,train
u1000650818,train
u1000653307,train
u1000670705980268544,train
u1000672386,train
u100068931,train
u1000699344,train
u100074798,test
u100076513,train
u1000799198810341376,train
u1000830979,test
u1000908590796898304,val
u1000921417,train
u1000955520,train
u1000976247722332160,val
u1001011166393585664,train
u1001018193312468992,val
u100102221,val
u1001022572186820608,train
u1001041357035786241,train
u1001062920128745472,val
u1001096261330718720,test
u1001109752263462913,train
u1001118416047046657,train
u1001122775124381696,train
u1001127206930862081,train
u1001148460714905600,test
u1001189861317951488,train
u1001196523953229824,train
u10012122,train
u1001229541585686534,val
u1001251931812220928,train
u1001255052915478528,train
u1001285146392383489,train
u1001286684,val
u1001344387102728194,train
u1001346252,train
u1001359572823457792,train
u100136358,val
u1001371117657907200,val
u1001371941746462722,train
u1001377228754706432,train
u1001390960,train
u1001410254385614848,train
u1001414496819261440,train
u100142132,test
u1001476670027681792,train
u1001476869454270464,train
u1001478911274967040,test
u1001491455792369664,val
u1001499086162485248,train
u1001511262545592320,val
u1001563985098035200,test
u1001569369846140928,train
u1001641008017346560,val
u1001643823,train
u1001663707045421058,train
u1001717449623064579,train
u1001727600,train
u1001775960763588608,val
u1001814311717752832,train
u1001831097355980801,train
u1001833602320039936,train
u1001837201276235777,train
u100184465,train
u1001846670500429830,train
u1001863423267831814,train
u1001874827660185607,train
u1001875491043889152,train
u100188103,val
u100190123,val
u1001917594771886080,val
u1001920951116881920,train
u1001946418700083202,train
u1001972298335768576,train
u1002006797560016898,train
u1002014071,val
u1002083068255981568,train
u1002084811,train
u1002099400347336705,train
u1002108329051570176,train
u100215065,train
u100215572,train
u1002156933506392065,train
